Código;descricao_insumo;descricao_detalhes;Descrição;Descrição Família Insumo;Descrição Conta Financeira
398;AUXILIAR DE AMOXARIFE;;AUXILIAR DE AMOXARIFE;;Salários e Ordenados
399;AUXILIAR ADMINISTRATIVO;;AUXILIAR ADMINISTRATIVO;;Salários e Ordenados
400;ASSISTENTE TÉCNICO;;ASSISTENTE TÉCNICO;;Salários e Ordenados
401;ASSISTENTE ADMINISTRATIVO;;ASSISTENTE ADMINISTRATIVO;;Salários e Ordenados
402;ARMADOR;;ARMADOR;;Salários e Ordenados
403;ALMOXARIFE;;ALMOXARIFE;;Salários e Ordenados
404;AJUDANTE GERAL;;AJUDANTE GERAL;;Salários e Ordenados
405;AJUDANTE DE MONTAGEM;;AJUDANTE DE MONTAGEM;;Salários e Ordenados
406;AJUDANTE DE ARMACAO;;AJUDANTE DE ARMACAO;;Salários e Ordenados
3756;MANUTENÇÃO DE CÂMERAS;;MANUTENÇÃO DE CÂMERAS;;Manutenções,
1727;FREELANCER;;FREELANCER;;Serviços
1734;SERVIÇO SERRALHEIRO;;SERVIÇO SERRALHEIRO;;Mão de Obra
1772;SERVIÇO DE DIARISTA;;SERVIÇO DE DIARISTA;;Serviços
1784;SERVIÇO DE BORRACHARIASERVIÇO DE;;SERVIÇO DE BORRACHARIASERVIÇO DE;;Mão de Obra
1814;LAVAGEM DE VEICULOS;;LAVAGEM DE VEICULOS;;Mão de Obra
1819;SERVICO ENGENHARIA;;SERVICO ENGENHARIA;;Serviços
1832;MONTAGEM DE MOTOR;;MONTAGEM DE MOTOR;;Mão de Obra
1904;PARAMETRIZAÇÃO;;PARAMETRIZAÇÃO;;Mão de Obra
1905;DIAGUINÓSTICO;;DIAGUINÓSTICO;;Mão de Obra
1919;SERVICO DE SUPRESSAO VEGETAL;;SERVICO DE SUPRESSAO VEGETAL;;Serviços de
1942;PRESTAÇÃO DE SERVIÇO PEDREIRO;;PRESTAÇÃO DE SERVIÇO PEDREIRO;;Mão de Obra
1943;PRESTAÇÃO DE SERVIÇO ELETRICISTA;;PRESTAÇÃO DE SERVIÇO ELETRICISTA;;Mão de Obra
1944;PRESTAÇÃO DE SERVIÇO JARDINEIRO;;PRESTAÇÃO DE SERVIÇO JARDINEIRO;;Mão de Obra
1945;PRESTAÇÃO DE SERVIÇO SERRRALHEIRO;;PRESTAÇÃO DE SERVIÇO SERRRALHEIRO;;Mão de Obra
1946;PRESTAÇÃO DE SERVIÇO PINTOR;;PRESTAÇÃO DE SERVIÇO PINTOR;;Mão de Obra
1994;SERVIÇO DE LIMPEZA;;SERVIÇO DE LIMPEZA;;Mão de Obra
2023;SERVICO CONSULTORIA EM TECNOLOGIA;;SERVICO CONSULTORIA EM TECNOLOGIA;;Mão de Obra
2030;PRESTAÇÃO DE SERVIÇO ADMINISTRATIVO;;PRESTAÇÃO DE SERVIÇO ADMINISTRATIVO;;Mão de Obra
2089;HONORARIOS COM ASSESSORIA;;HONORARIOS COM ASSESSORIA;;Assessoria Contábil
2091;SERVIÇO DE BIÓLOGO;;SERVIÇO DE BIÓLOGO;;Mão de Obra
2102;INSTALAÇÃO DE CÂMERA;;INSTALAÇÃO DE CÂMERA;;Mão de Obra
2104;SERVIÇO DE INSTALAÇÃO/MANUTENÇÃO DE;;SERVIÇO DE INSTALAÇÃO/MANUTENÇÃO DE;;Mão de Obra
2167;SERVIÇO DE ENGENHARIA PROJETO;;SERVIÇO DE ENGENHARIA PROJETO;;Mão de Obra
2168;SERVIÇO DE ENGENHARIA ADMINISTRATIVO;;SERVIÇO DE ENGENHARIA ADMINISTRATIVO;;Mão de Obra
2169;SERVIÇO DE ENGENHARIA PROJETISTA;;SERVIÇO DE ENGENHARIA PROJETISTA;;Mão de Obra
2224;SERVIÇO DE CORSERTO DE FARDAMENTO;;SERVIÇO DE CORSERTO DE FARDAMENTO;;Mão de Obra
2232;MONTADOR DE MÓVEIS;;MONTADOR DE MÓVEIS;;Manutenções,
2234;SERVIÇO DE TRANSPORTE DE;;SERVIÇO DE TRANSPORTE DE;;Manutenções,
2330;SERVIÇOS GRÁFICOS;;SERVIÇOS GRÁFICOS;;Verbas e Gastos
2340;SERVIÇO DE LAVANDERIA;;SERVIÇO DE LAVANDERIA;;Serviços
2341;SERVIÇO MONTAGEM MOVEIS;;SERVIÇO MONTAGEM MOVEIS;;Serviços
2372;SERVIÇO DE IMPRESSÃO A1;;SERVIÇO DE IMPRESSÃO A1;;Verbas e Gastos
2373;SERVIÇO DE IMPRESSÃO DE 4,5M DDE;;SERVIÇO DE IMPRESSÃO DE 4,5M DDE;;Verbas e Gastos
2374;SERVIÇO GRÁFICO DE ACOMPLAGEM;;SERVIÇO GRÁFICO DE ACOMPLAGEM;;Verbas e Gastos
2382;SERVIÇO DE CHAVEIRO;;SERVIÇO DE CHAVEIRO;;Serviços
2401;SERVIÇO DE RASTREAMENTO;;SERVIÇO DE RASTREAMENTO;;Serviço
2482;SERVIÇO DE DESPACHANTE;;SERVIÇO DE DESPACHANTE;;Despachantes
2529;SERVIÇO DE PLOTAGEM;;SERVIÇO DE PLOTAGEM;;Serviços de
2690;PRESTAÇÃO DE SERVIÇO PROJETOS;;PRESTAÇÃO DE SERVIÇO PROJETOS;;Projetos
2700;SERVIÇO DE LAVA JATO;;SERVIÇO DE LAVA JATO;;Serviço Lavagem
2702;SERVIÇO DE MEDIÇÃO DE PRESSÃO DO;;SERVIÇO DE MEDIÇÃO DE PRESSÃO DO;;Serviços
2715;SERVIÇO DE RONDA PATRIMONIAL;;SERVIÇO DE RONDA PATRIMONIAL;;Serviços
2741;SERVIÇO DE DEDETIZAÇÃO;;SERVIÇO DE DEDETIZAÇÃO;;Serviços
2967;SERVIÇO DE CONSERTO DE NOTEBOOK;;SERVIÇO DE CONSERTO DE NOTEBOOK;;Serviços
3098;SERVIÇO DE CONTROLE DE PRAGAS;;SERVIÇO DE CONTROLE DE PRAGAS;;Serviços
3162;PRESTAÇÃO DE SERVIÇO - MOTOBOY;;PRESTAÇÃO DE SERVIÇO - MOTOBOY;;Manutenções,
3259;SERVIÇO GEOMETRIA DE CAMINHÃO;;SERVIÇO GEOMETRIA DE CAMINHÃO;;Serviços
3263;MAO DE OBRA DE DOIS FEIXES DE MOLAS;;MAO DE OBRA DE DOIS FEIXES DE MOLAS;;Serviços
3550;PRESTACAO SERVICO TOPOGRAFO;;PRESTACAO SERVICO TOPOGRAFO;;Serviços de
3552;PRESTAÇAO DE SERVIÇO DE OPERADOR;;PRESTAÇAO DE SERVIÇO DE OPERADOR;;Salários e Ordenados
3554;SERVIÇO DE CONCERTO DE PNEU;;SERVIÇO DE CONCERTO DE PNEU;;Manutenção
3595;SERVICO DE GESSO;;SERVICO DE GESSO;;Manutenções,
3677;LANCAMENTO DE CONCRETO (CAMINHAO;;LANCAMENTO DE CONCRETO (CAMINHAO;;Concretagem
3819;FREELANCER VISITA TECNICA;;FREELANCER VISITA TECNICA;;Visita Técnica -
3867;SERVIÇO DE VAZAMENTO DE ÁGUA;;SERVIÇO DE VAZAMENTO DE ÁGUA;;Manutenções,
3910;SERVICO COLETA LIXO;;SERVICO COLETA LIXO;;Manutenções,
3919;SERVIÇO IMPRESSÃO GRAFICA A2;;SERVIÇO IMPRESSÃO GRAFICA A2;;Serviços
3925;SERVIÇOS GRÁFICOS;;SERVIÇOS GRÁFICOS;;Manutenções,
3926;SERVIÇO INSTALAÇÃO DE CAMERAS DE;;SERVIÇO INSTALAÇÃO DE CAMERAS DE;;Manutenções,
2151;TRANSPORTE DE GUINDASTE;;TRANSPORTE DE GUINDASTE;;Transporte
2608;ANCORAGEM CSA138;ESTRUTURA AS;ANCORAGEM CSA138;;Materiais
2608;ANCORAGEM CSA138;ESTRUTURA AT;ANCORAGEM CSA138;;Materiais
2608;ANCORAGEM CSA138;ESTRUTURA SS;ANCORAGEM CSA138;;Materiais
2608;ANCORAGEM CSA138;ESTRUTURA SR;ANCORAGEM CSA138;;Materiais
2609;SUSPENSÃO CSS138;ESTRUTURA AS;SUSPENSÃO CSS138;;Materiais
2609;SUSPENSÃO CSS138;ESTRUTURA AT;SUSPENSÃO CSS138;;Materiais
2609;SUSPENSÃO CSS138;ESTRUTURA SS;SUSPENSÃO CSS138;;Materiais
2609;SUSPENSÃO CSS138;ESTRUTURA SR;SUSPENSÃO CSS138;;Materiais
2610;ANCORAGEM PRA CAC1710;ESTRUTURA AS;ANCORAGEM PRA CAC1710;;Materiais
2610;ANCORAGEM PRA CAC1710;ESTRUTURA AT;ANCORAGEM PRA CAC1710;;Materiais
2610;ANCORAGEM PRA CAC1710;ESTRUTURA SS;ANCORAGEM PRA CAC1710;;Materiais
2610;ANCORAGEM PRA CAC1710;ESTRUTURA SR;ANCORAGEM PRA CAC1710;;Materiais
2611;F4000 AMORTECEDOR V. STOCKBRIDGE;;F4000 AMORTECEDOR V. STOCKBRIDGE;;Materiais
2612;55084/002 ESFERA DE SINALIZACAO P/ USO;;55084/002 ESFERA DE SINALIZACAO P/ USO;;Materiais
2613;F4000-06 AMORTECEDOR V. STOCKBRIDGE;;F4000-06 AMORTECEDOR V. STOCKBRIDGE;;Materiais
2614;F4101-003 GRAMPO SUSP;;F4101-003 GRAMPO SUSP;;Materiais
2615;F1700-11 TENSOR GARFO GARFO;;F1700-11 TENSOR GARFO GARFO;;Materiais
2625;F4000 AMORTECEDOR V. STOCKBRIDGE;;F4000 AMORTECEDOR V. STOCKBRIDGE;;Materiais
2626;55084/002 ESFERA DE SINALIZACAO P/ USO;;55084/002 ESFERA DE SINALIZACAO P/ USO;;Materiais
2627;F4000-06 AMORTECEDOR V. STOCKBRIDGE;;F4000-06 AMORTECEDOR V. STOCKBRIDGE;;Materiais
3514;CAA 477-636MCM (DERIVACAO;;CAA 477-636MCM (DERIVACAO;;Materiais
3515;CAA 477-636MCM (TRONCO-APARAFUSADO);;CAA 477-636MCM (TRONCO-APARAFUSADO);;Materiais
3516;CONETOR LIGA AL ANTI-CORONA TP/2;;CONETOR LIGA AL ANTI-CORONA TP/2;;Materiais
710;TERMINAL OLHAL;;TERMINAL OLHAL;;Miscelâneas e
711;TERMINAL METALICO A PRESSAO PARA 1;;TERMINAL METALICO A PRESSAO PARA 1;;Miscelâneas e
712;TERMINAL METALICO A PRESSAO PARA 1;;TERMINAL METALICO A PRESSAO PARA 1;;Miscelâneas e
713;TERMINAL METALICO A PRESSAO PARA 1;;TERMINAL METALICO A PRESSAO PARA 1;;Miscelâneas e
714;TERMINAL METALICO A PRESSAO PARA 1;;TERMINAL METALICO A PRESSAO PARA 1;;Miscelâneas e
715;TERMINAL METALICO A PRESSAO PARA 1;;TERMINAL METALICO A PRESSAO PARA 1;;Miscelâneas e
716;TERMINAL METALICO A PRESSAO PARA 1;;TERMINAL METALICO A PRESSAO PARA 1;;Miscelâneas e
717;TERMINAL METALICO A PRESSAO PARA 1;;TERMINAL METALICO A PRESSAO PARA 1;;Miscelâneas e
718;TERMINAL METALICO A PRESSAO PARA 1;;TERMINAL METALICO A PRESSAO PARA 1;;Miscelâneas e
719;TERMINAL METALICO A PRESSAO PARA 1;;TERMINAL METALICO A PRESSAO PARA 1;;Miscelâneas e
720;TERMINAL METALICO A PRESSAO PARA 1;;TERMINAL METALICO A PRESSAO PARA 1;;Miscelâneas e
721;TERMINAL METALICO A PRESSAO PARA 1;;TERMINAL METALICO A PRESSAO PARA 1;;Miscelâneas e
722;TERMINAL METALICO A PRESSAO PARA 1;;TERMINAL METALICO A PRESSAO PARA 1;;Miscelâneas e
723;TERMINAL METALICO A PRESSAO PARA 1;;TERMINAL METALICO A PRESSAO PARA 1;;Miscelâneas e
724;TERMINAL METALICO A PRESSAO PARA 1;;TERMINAL METALICO A PRESSAO PARA 1;;Miscelâneas e
725;TERMINAL METALICO A PRESSAO PARA 1;;TERMINAL METALICO A PRESSAO PARA 1;;Miscelâneas e
726;TERMINAL METALICO A PRESSAO PARA 1;;TERMINAL METALICO A PRESSAO PARA 1;;Miscelâneas e
727;TERMINAL METALICO A PRESSAO 1 CABO,;;TERMINAL METALICO A PRESSAO 1 CABO,;;Miscelâneas e
728;TERMINAL ELETRICO ENCAIXE;;TERMINAL ELETRICO ENCAIXE;;Miscelâneas e
729;TERMINAL DE PRESSÃO EM LATÃO;;TERMINAL DE PRESSÃO EM LATÃO;;Miscelâneas e
731;TERMINAL A COMPRESSAO EM COBRE;;TERMINAL A COMPRESSAO EM COBRE;;Miscelâneas e
732;TERMINAL A COMPRESSAO EM COBRE;;TERMINAL A COMPRESSAO EM COBRE;;Miscelâneas e
733;TERMINAL A COMPRESSAO EM COBRE;;TERMINAL A COMPRESSAO EM COBRE;;Miscelâneas e
734;TERMINAL A COMPRESSAO EM COBRE;;TERMINAL A COMPRESSAO EM COBRE;;Miscelâneas e
735;TERMINAL A COMPRESSAO EM COBRE;;TERMINAL A COMPRESSAO EM COBRE;;Miscelâneas e
736;TERMINAL A COMPRESSAO EM COBRE;;TERMINAL A COMPRESSAO EM COBRE;;Miscelâneas e
737;TERMINAL A COMPRESSAO EM COBRE;;TERMINAL A COMPRESSAO EM COBRE;;Miscelâneas e
738;TERMINAL A COMPRESSAO EM COBRE;;TERMINAL A COMPRESSAO EM COBRE;;Miscelâneas e
739;TERMINAL A COMPRESSAO EM COBRE;;TERMINAL A COMPRESSAO EM COBRE;;Miscelâneas e
740;TERMINAL A COMPRESSAO EM COBRE;;TERMINAL A COMPRESSAO EM COBRE;;Miscelâneas e
741;TERMINAL A COMPRESSAO EM COBRE;;TERMINAL A COMPRESSAO EM COBRE;;Miscelâneas e
742;SUPORTE ISOLADOR SIMPLES DIAMETRO;;SUPORTE ISOLADOR SIMPLES DIAMETRO;;Miscelâneas e
743;SUPORTE GUIA SIMPLES COM ROLDANA EM;;SUPORTE GUIA SIMPLES COM ROLDANA EM;;Miscelâneas e
744;"SUPORTE ""Y"" PARA FITA PERFURADA";;"SUPORTE ""Y"" PARA FITA PERFURADA";;Miscelâneas e
745;SINALIZADOR NOTURNO SIMPLES PARA;;SINALIZADOR NOTURNO SIMPLES PARA;;Miscelâneas e
746;PORCA ZINCADA, QUADRADA, DIAMETRO 5;;PORCA ZINCADA, QUADRADA, DIAMETRO 5;;Miscelâneas e
747;PORCA OLHAL;;PORCA OLHAL;;Miscelâneas e
748;KIT DE MATERIAIS PARA BRACADEIRA PARA;;KIT DE MATERIAIS PARA BRACADEIRA PARA;;Miscelâneas e
749;JUNCAO 2 GARRAS PARA FITA PERFURADA;;JUNCAO 2 GARRAS PARA FITA PERFURADA;;Miscelâneas e
750;ISOLADOR DE PORCELANA, TIPO ROLDANA,;;ISOLADOR DE PORCELANA, TIPO ROLDANA,;;Miscelâneas e
751;ISOLADOR DE PORCELANA, TIPO PINO;;ISOLADOR DE PORCELANA, TIPO PINO;;Miscelâneas e
752;ISOLADOR DE PORCELANA, TIPO PINO;;ISOLADOR DE PORCELANA, TIPO PINO;;Miscelâneas e
753;ISOLADOR DE PORCELANA, TIPO BUCHA,;;ISOLADOR DE PORCELANA, TIPO BUCHA,;;Miscelâneas e
754;ISOLADOR DE PORCELANA, TIPO BUCHA,;;ISOLADOR DE PORCELANA, TIPO BUCHA,;;Miscelâneas e
755;ISOLADOR DE PORCELANA SUSPENSO,;;ISOLADOR DE PORCELANA SUSPENSO,;;Miscelâneas e
756;HASTE RETA PARA GANCHO DE FERRO cj;;HASTE RETA PARA GANCHO DE FERRO cj;;Miscelâneas e
757;HASTE RETA PARA GANCHO DE FERRO;;HASTE RETA PARA GANCHO DE FERRO;;Miscelâneas e
758;HASTE RETA PARA GANCHO DE FERRO cj;;HASTE RETA PARA GANCHO DE FERRO cj;;Miscelâneas e
759;HASTE RETA PARA GANCHO DE FERRO;;HASTE RETA PARA GANCHO DE FERRO;;Miscelâneas e
760;HASTE RETA DE ACO GALVANIZADO,;;HASTE RETA DE ACO GALVANIZADO,;;Miscelâneas e
761;HASTE DE ATERRAMENTO EM ACO;;HASTE DE ATERRAMENTO EM ACO;;Miscelâneas e
762;HASTE DE ATERRAMENTO EM ACO COM 3,;;HASTE DE ATERRAMENTO EM ACO COM 3,;;Miscelâneas e
763;HASTE DE ATERRAMENTO EM ACO COM 3,;;HASTE DE ATERRAMENTO EM ACO COM 3,;;Miscelâneas e
764;HASTE DE ATERRAMENTO EM ACO COM 3,;;HASTE DE ATERRAMENTO EM ACO COM 3,;;Miscelâneas e
765;HASTE COBRE ATERRAMENTO;;HASTE COBRE ATERRAMENTO;;Miscelâneas e
766;GRAMPO SUSPENSAO;;GRAMPO SUSPENSAO;;Miscelâneas e
767;GRAMPO PARALELO METALICO PARA CABO;;GRAMPO PARALELO METALICO PARA CABO;;Miscelâneas e
768;GRAMPO METALICO TIPO U PARA HASTE DE;;GRAMPO METALICO TIPO U PARA HASTE DE;;Miscelâneas e
769;GRAMPO METALICO TIPO U PARA HASTE DE;;GRAMPO METALICO TIPO U PARA HASTE DE;;Miscelâneas e
770;GRAMPO METALICO TIPO OLHAL PARA;;GRAMPO METALICO TIPO OLHAL PARA;;Miscelâneas e
771;GRAMPO METALICO TIPO OLHAL PARA;;GRAMPO METALICO TIPO OLHAL PARA;;Miscelâneas e
772;GRAMPO METALICO TIPO OLHAL PARA;;GRAMPO METALICO TIPO OLHAL PARA;;Miscelâneas e
773;GRAMPO METALICO TIPO OLHAL PARA;;GRAMPO METALICO TIPO OLHAL PARA;;Miscelâneas e
774;GRAMPO LINHA VIVA DE LATAO;;GRAMPO LINHA VIVA DE LATAO;;Miscelâneas e
775;GRAMPO DE COBRE TIPO X;;GRAMPO DE COBRE TIPO X;;Miscelâneas e
776;GRAMPO DE ANCORAGEM COMPRESSÃO;;GRAMPO DE ANCORAGEM COMPRESSÃO;;Miscelâneas e
777;"GRAMPO DE ACO POLIDO 7/8"" X 9";;"GRAMPO DE ACO POLIDO 7/8"" X 9";;Miscelâneas e
778;"GRAMPO DE ACO POLIDO 1"" X 9";;"GRAMPO DE ACO POLIDO 1"" X 9";;Miscelâneas e
779;GANCHO OLHAL EM ACO GALVANIZADO,;;GANCHO OLHAL EM ACO GALVANIZADO,;;Miscelâneas e
780;GANCHO CHATO EM ACO GALVANIZADO,;;GANCHO CHATO EM ACO GALVANIZADO,;;Miscelâneas e
781;FITA METALICA PERFURADA,;;FITA METALICA PERFURADA,;;Miscelâneas e
782;FITA METALICA PERFURADA,;;FITA METALICA PERFURADA,;;Miscelâneas e
783;FITA METALICA PERFURADA,;;FITA METALICA PERFURADA,;;Miscelâneas e
784;FITA METALICA GRAVADA,;;FITA METALICA GRAVADA,;;Miscelâneas e
785;CONETOR LIGA AL TIPO T CABO CAA 394,5;;CONETOR LIGA AL TIPO T CABO CAA 394,5;;Miscelâneas e
786;CONETOR LIGA AL TERMINAL;;CONETOR LIGA AL TERMINAL;;Miscelâneas e
787;CONETOR LIGA AL DERIVACAO PARALELA P;;CONETOR LIGA AL DERIVACAO PARALELA P;;Miscelâneas e
788;CONETOR LIGA AL;;CONETOR LIGA AL;;Miscelâneas e
789;CONECTOR RETO DE ALUMINIO PARA;;CONECTOR RETO DE ALUMINIO PARA;;Miscelâneas e
790;CONECTOR RETO DE ALUMINIO PARA;;CONECTOR RETO DE ALUMINIO PARA;;Miscelâneas e
791;CONECTOR RETO DE ALUMINIO PARA;;CONECTOR RETO DE ALUMINIO PARA;;Miscelâneas e
792;CONECTOR RETO DE ALUMINIO PARA;;CONECTOR RETO DE ALUMINIO PARA;;Miscelâneas e
793;CONECTOR RETO DE ALUMINIO PARA;;CONECTOR RETO DE ALUMINIO PARA;;Miscelâneas e
794;CONECTOR RETO DE ALUMINIO PARA;;CONECTOR RETO DE ALUMINIO PARA;;Miscelâneas e
795;CONECTOR RETO DE ALUMINIO PARA;;CONECTOR RETO DE ALUMINIO PARA;;Miscelâneas e
796;CONECTOR RETO DE ALUMINIO PARA;;CONECTOR RETO DE ALUMINIO PARA;;Miscelâneas e
797;CONECTOR RETO DE ALUMINIO PARA;;CONECTOR RETO DE ALUMINIO PARA;;Miscelâneas e
798;CONECTOR PARA CABO- HASTE;;CONECTOR PARA CABO- HASTE;;Miscelâneas e
799;CONECTOR METALICO TIPO PARAFUSO;;CONECTOR METALICO TIPO PARAFUSO;;Miscelâneas e
800;CONECTOR METALICO TIPO PARAFUSO;;CONECTOR METALICO TIPO PARAFUSO;;Miscelâneas e
801;CONECTOR METALICO TIPO PARAFUSO;;CONECTOR METALICO TIPO PARAFUSO;;Miscelâneas e
802;CONECTOR METALICO TIPO PARAFUSO;;CONECTOR METALICO TIPO PARAFUSO;;Miscelâneas e
803;CONECTOR METALICO TIPO PARAFUSO;;CONECTOR METALICO TIPO PARAFUSO;;Miscelâneas e
804;CONECTOR METALICO TIPO PARAFUSO;;CONECTOR METALICO TIPO PARAFUSO;;Miscelâneas e
805;CONECTOR METALICO TIPO PARAFUSO;;CONECTOR METALICO TIPO PARAFUSO;;Miscelâneas e
806;CONECTOR METALICO TIPO PARAFUSO;;CONECTOR METALICO TIPO PARAFUSO;;Miscelâneas e
807;CONECTOR METALICO TIPO PARAFUSO;;CONECTOR METALICO TIPO PARAFUSO;;Miscelâneas e
808;CONECTOR METALICO TIPO PARAFUSO;;CONECTOR METALICO TIPO PARAFUSO;;Miscelâneas e
809;CONECTOR METALICO TIPO PARAFUSO;;CONECTOR METALICO TIPO PARAFUSO;;Miscelâneas e
810;CONECTOR METALICO TIPO PARAFUSO;;CONECTOR METALICO TIPO PARAFUSO;;Miscelâneas e
811;CONECTOR METALICO TIPO PARAFUSO;;CONECTOR METALICO TIPO PARAFUSO;;Miscelâneas e
812;CONECTOR DE ALUMINIO TIPO PRENSA;;CONECTOR DE ALUMINIO TIPO PRENSA;;Miscelâneas e
813;CONECTOR DE ALUMINIO TIPO PRENSA;;CONECTOR DE ALUMINIO TIPO PRENSA;;Miscelâneas e
814;CONECTOR DE ALUMINIO TIPO PRENSA;;CONECTOR DE ALUMINIO TIPO PRENSA;;Miscelâneas e
815;CONECTOR DE ALUMINIO TIPO PRENSA;;CONECTOR DE ALUMINIO TIPO PRENSA;;Miscelâneas e
816;CONECTOR DE ALUMINIO TIPO PRENSA;;CONECTOR DE ALUMINIO TIPO PRENSA;;Miscelâneas e
817;CONECTOR DE ALUMINIO TIPO PRENSA;;CONECTOR DE ALUMINIO TIPO PRENSA;;Miscelâneas e
818;CONECTOR DE ALUMINIO TIPO PRENSA;;CONECTOR DE ALUMINIO TIPO PRENSA;;Miscelâneas e
819;CONECTOR CURVO 90 GRAUS DE ALUMINIO;;CONECTOR CURVO 90 GRAUS DE ALUMINIO;;Miscelâneas e
820;CONECTOR CURVO 90 GRAUS DE ALUMINIO;;CONECTOR CURVO 90 GRAUS DE ALUMINIO;;Miscelâneas e
821;CONECTOR CURVO 90 GRAUS DE ALUMINIO;;CONECTOR CURVO 90 GRAUS DE ALUMINIO;;Miscelâneas e
822;CONECTOR CURVO 90 GRAUS DE ALUMINIO;;CONECTOR CURVO 90 GRAUS DE ALUMINIO;;Miscelâneas e
823;CONECTOR CURVO 90 GRAUS DE ALUMINIO;;CONECTOR CURVO 90 GRAUS DE ALUMINIO;;Miscelâneas e
824;CONECTOR CURVO 90 GRAUS DE ALUMINIO;;CONECTOR CURVO 90 GRAUS DE ALUMINIO;;Miscelâneas e
825;CONECTOR CURVO 90 GRAUS DE ALUMINIO;;CONECTOR CURVO 90 GRAUS DE ALUMINIO;;Miscelâneas e
826;CONECTOR CURVO 90 GRAUS DE ALUMINIO;;CONECTOR CURVO 90 GRAUS DE ALUMINIO;;Miscelâneas e
827;CONECTOR CURVO 90 GRAUS DE ALUMINIO;;CONECTOR CURVO 90 GRAUS DE ALUMINIO;;Miscelâneas e
828;CINTA CIRCULAR EM ACO GALVANIZADO DE;;CINTA CIRCULAR EM ACO GALVANIZADO DE;;Miscelâneas e
829;BASE PARA MASTRO DE PARA-RAIOS;;BASE PARA MASTRO DE PARA-RAIOS;;Miscelâneas e
830;BASE PARA MASTRO DE PARA-RAIOS;;BASE PARA MASTRO DE PARA-RAIOS;;Miscelâneas e
831;BARRAMENTO PENTE BIPOLAR;;BARRAMENTO PENTE BIPOLAR;;Miscelâneas e
832;BARRA NEUTRA;;BARRA NEUTRA;;Miscelâneas e
833;ARRUELA LISA, REDONDA, DE LATAO;;ARRUELA LISA, REDONDA, DE LATAO;;Miscelâneas e
834;ANEL DE DISTRIBUICAO EM ACO;;ANEL DE DISTRIBUICAO EM ACO;;Miscelâneas e
835;ALCA PREFORMADA DE SERVICO, EM ACO;;ALCA PREFORMADA DE SERVICO, EM ACO;;Miscelâneas e
836;ALCA PREFORMADA DE SERVICO, EM ACO;;ALCA PREFORMADA DE SERVICO, EM ACO;;Miscelâneas e
837;ALCA PREFORMADA DE DISTRIBUICAO, EM;;ALCA PREFORMADA DE DISTRIBUICAO, EM;;Miscelâneas e
838;ALCA PREFORMADA DE DISTRIBUICAO, EM;;ALCA PREFORMADA DE DISTRIBUICAO, EM;;Miscelâneas e
2245;MANILHA;;MANILHA;;Miscelâneas e
2246;MANCAL;;MANCAL;;Miscelâneas e
2247;ELO BOLA;;ELO BOLA;;Miscelâneas e
2248;CONCHA GARFO;;CONCHA GARFO;;Miscelâneas e
2249;QUADRUPLICADOR;;QUADRUPLICADOR;;Miscelâneas e
